ky_tu,so_anh_chua,ty_le_anh,tong_so_lan_xuat_hien,ty_le_tan_suat
之,6218,16.2274%,7638,1.6621%
以,4396,11.4724%,4883,1.0626%
人,3239,8.4529%,3614,0.7864%
月,3210,8.3773%,3501,0.7618%
十,3001,7.8318%,3312,0.7207%
不,2891,7.5448%,3201,0.6966%
年,2871,7.4926%,3036,0.6607%
帝,2550,6.6548%,2737,0.5956%
有,2374,6.1955%,2583,0.5621%
二,2331,6.0833%,2534,0.5514%
其,2316,6.0442%,2507,0.5455%
大,2246,5.8615%,2359,0.5133%
日,2150,5.6109%,2288,0.4979%
為,2013,5.2534%,2271,0.4942%
等,1971,5.1438%,2104,0.4578%
爲,1803,4.7054%,2042,0.4444%
而,1819,4.7471%,2015,0.4385%
國,1811,4.7262%,1988,0.4326%
一,1804,4.7080%,1982,0.4313%
軍,1713,4.4705%,1915,0.4167%
王,1697,4.4287%,1902,0.4139%
太,1743,4.5488%,1900,0.4135%
天,1754,4.5775%,1866,0.4061%
公,1571,4.0999%,1850,0.4026%
子,1695,4.4235%,1818,0.3956%
三,1721,4.4914%,1813,0.3945%
官,1680,4.3844%,1808,0.3934%
兵,1651,4.3087%,1793,0.3902%
明,1694,4.4209%,1760,0.3830%
曰,1575,4.1103%,1705,0.3710%
於,1537,4.0112%,1657,0.3606%
至,1594,4.1599%,1646,0.3582%
使,1508,3.9355%,1626,0.3538%
者,1451,3.7867%,1589,0.3458%
時,1542,4.0242%,1582,0.3443%
阮,1357,3.5414%,1579,0.3436%
臣,1448,3.7789%,1545,0.3362%
事,1469,3.8337%,1541,0.3353%
也,1466,3.8259%,1529,0.3327%
黎,1173,3.0612%,1442,0.3138%
及,1375,3.5884%,1404,0.3055%
文,1315,3.4318%,1397,0.3040%
如,1296,3.3822%,1381,0.3005%
皇,1219,3.1813%,1377,0.2996%
上,1321,3.4475%,1374,0.2990%
是,1280,3.3405%,1325,0.2883%
行,1227,3.2022%,1280,0.2785%
